,Value,diff,mean diff
2021-06-30 04:48:00+00:00,1.27,0.0,-0.00014444444444444455
2021-06-30 04:58:00+00:00,1.268,-0.00013333333333333345,-0.0001435897435897437
2021-06-30 05:08:00+00:00,1.2670000000000001,-6.666666666665932e-05,-0.0001476190476190472
2021-06-30 05:18:00+00:00,1.264,-0.00020000000000000757,-0.00014222222222222232
2021-06-30 05:28:00+00:00,1.26,-0.0002666666666666669,-0.00014583333333333297
2021-06-30 05:38:00+00:00,1.258,-0.00013333333333333345,-0.00014509803921568593
2021-06-30 05:48:00+00:00,1.256,-0.00013333333333333345,-0.0001444444444444441
2021-06-30 05:58:00+00:00,1.254,-0.00013333333333333345,-0.00014035087719298255
2021-06-30 06:08:00+00:00,1.2530000000000001,-6.666666666665932e-05,-0.0001400000000000001
2021-06-30 06:18:00+00:00,1.25,-0.00020000000000000757,-0.00013968253968253976
2021-06-30 06:28:00+00:00,1.248,-0.00013333333333333345,-0.00013939393939393948
2021-06-30 06:38:00+00:00,1.244,-0.0002666666666666669,-0.00014492753623188414
2021-06-30 06:48:00+00:00,1.242,-0.00013333333333333345,-0.000147222222222222
2021-06-30 06:58:00+00:00,1.239,-0.00019999999999999277,-0.0001500000000000001
2021-06-30 07:08:00+00:00,1.238,-6.666666666667412e-05,-0.000147222222222222
2021-06-30 07:18:00+00:00,1.235,-0.00019999999999999277,-0.0001472222222222226
2021-06-30 07:28:00+00:00,1.233,-0.00013333333333333345,-0.00014166666666666643
2021-06-30 07:38:00+00:00,1.231,-0.00013333333333333345,-0.00013888888888888897
2021-06-30 07:48:00+00:00,1.23,-6.666666666667412e-05,-0.00013611111111111088
2021-06-30 07:58:00+00:00,1.228,-0.00013333333333333345,-0.00013611111111111088
2021-06-30 08:08:00+00:00,1.226,-0.00013333333333333345,-0.00013333333333333342
2021-06-30 08:18:00+00:00,1.224,-0.00013333333333333345,-0.00013888888888888897
2021-06-30 08:28:00+00:00,1.22,-0.0002666666666666669,-0.00013333333333333342
2021-06-30 08:38:00+00:00,1.217,-0.00019999999999999277,-0.00013055555555555533
2021-06-30 08:48:00+00:00,1.216,-6.666666666667412e-05,-0.0001222222222222223
2021-06-30 08:58:00+00:00,1.215,-6.666666666665932e-05,-0.0001222222222222223
2021-06-30 09:08:00+00:00,1.214,-6.666666666667412e-05,-0.00012500000000000038
2021-06-30 09:18:00+00:00,1.213,-6.666666666665932e-05,-0.00011944444444444421
2021-06-30 09:28:00+00:00,1.21,-0.00020000000000000757,-0.0001222222222222223
2021-06-30 09:38:00+00:00,1.209,-6.666666666665932e-05,-0.00011666666666666673
2021-06-30 09:48:00+00:00,1.207,-0.00013333333333333345,-0.00011666666666666673
2021-06-30 09:58:00+00:00,1.206,-6.666666666667412e-05,-0.00011944444444444421
2021-06-30 10:08:00+00:00,1.203,-0.00019999999999999277,-0.00011944444444444421
2021-06-30 10:18:00+00:00,1.202,-6.666666666667412e-05,-0.00011666666666666673
2021-06-30 10:28:00+00:00,1.201,-6.666666666665932e-05,-0.00011666666666666673
2021-06-30 10:38:00+00:00,1.2,-6.666666666667412e-05,-0.0001083333333333331
2021-06-30 10:48:00+00:00,1.198,-0.00013333333333333345,-0.00010555555555555562
2021-06-30 10:58:00+00:00,1.194,-0.0002666666666666669,-0.00011388888888888865
2021-06-30 11:08:00+00:00,1.195,6.666666666667412e-05,-0.00011388888888888927
2021-06-30 11:18:00+00:00,1.191,-0.0002666666666666669,-0.00011388888888888865
2021-06-30 11:28:00+00:00,1.191,0.0,-0.00011388888888888927
2021-06-30 11:38:00+00:00,1.189,-0.00013333333333333345,-0.0001083333333333331
2021-06-30 11:48:00+00:00,1.187,-0.00013333333333333345,-0.00010833333333333371
2021-06-30 11:58:00+00:00,1.185,-0.00013333333333333345,-0.00010555555555555562
2021-06-30 12:08:00+00:00,1.184,-6.666666666667412e-05,-0.0001083333333333331
2021-06-30 12:18:00+00:00,1.182,-0.00013333333333333345,-9.444444444444451e-05
2021-06-30 12:28:00+00:00,1.181,-6.666666666665932e-05,-9.444444444444451e-05
2021-06-30 12:38:00+00:00,1.179,-0.00013333333333333345,-9.166666666666703e-05
2021-06-30 12:48:00+00:00,1.175,-0.0002666666666666669,-9.166666666666642e-05
2021-06-30 12:58:00+00:00,1.174,-6.666666666667412e-05,-8.333333333333338e-05
2021-06-30 13:08:00+00:00,1.173,-6.666666666665932e-05,-7.499999999999975e-05
2021-06-30 13:18:00+00:00,1.172,-6.666666666667412e-05,-8.055555555555592e-05
2021-06-30 13:28:00+00:00,1.171,-6.666666666665932e-05,-7.222222222222227e-05
2021-06-30 13:38:00+00:00,1.17,-6.666666666667412e-05,-7.222222222222227e-05
2021-06-30 13:48:00+00:00,1.169,-6.666666666665932e-05,-7.222222222222227e-05
2021-06-30 13:58:00+00:00,1.167,-0.00013333333333333345,-6.94444444444448e-05
2021-06-30 14:08:00+00:00,1.169,0.00013333333333333345,-7.222222222222227e-05
2021-06-30 14:18:00+00:00,1.168,-6.666666666667412e-05,-6.944444444444419e-05
2021-06-30 14:28:00+00:00,1.168,0.0,-7.222222222222227e-05
2021-06-30 14:38:00+00:00,1.167,-6.666666666665932e-05,-8.05555555555553e-05
2021-06-30 14:48:00+00:00,1.168,6.666666666665932e-05,-7.222222222222227e-05
2021-06-30 14:58:00+00:00,1.167,-6.666666666665932e-05,-6.111111111111116e-05
2021-06-30 15:08:00+00:00,1.166,-6.666666666667412e-05,-6.111111111111054e-05
2021-06-30 15:18:00+00:00,1.165,-6.666666666665932e-05,-6.666666666666671e-05
2021-06-30 15:28:00+00:00,1.165,0.0,-6.388888888888862e-05
2021-06-30 15:38:00+00:00,1.163,-0.00013333333333333345,-6.944444444444419e-05
2021-06-30 15:48:00+00:00,1.162,-6.666666666667412e-05,-7.777777777777721e-05
2021-06-30 15:58:00+00:00,1.159,-0.00019999999999999277,-7.222222222222227e-05
2021-06-30 16:08:00+00:00,1.159,0.0,-6.944444444444419e-05
