,Value,diff,mean diff
2020-12-03 05:53:00+00:00,6.742,0.0,-2.777777777776238e-06
2020-12-05 12:03:00+00:00,6.742,0.0,-6.111111111111178e-05
2020-12-05 12:13:00+00:00,6.742,0.0,-6.111111111111178e-05
2020-12-05 14:23:00+00:00,6.742,0.0,-2.777777777776238e-06
2020-12-05 20:23:00+00:00,6.742,0.0,-8.333333333333649e-06
2020-12-06 03:23:00+00:00,6.742,0.0,-6.388888888888803e-05
2020-12-06 03:33:00+00:00,6.742,0.0,-6.111111111111178e-05
2020-12-07 13:43:00+00:00,6.742,0.0,-2.777777777776238e-06
2020-12-07 17:23:00+00:00,6.742,0.0,-0.004269444444444445
2020-12-07 17:33:00+00:00,6.742,0.0,-0.004133333333333332
2020-12-07 17:43:00+00:00,6.742,0.0,-0.0042000000000000015
2020-12-07 17:53:00+00:00,6.742,0.0,-0.0044416666666666675
2020-12-07 18:03:00+00:00,6.742,0.0,-0.003561111111111111
2020-12-07 18:13:00+00:00,6.742,0.0,-0.0030555555555555544
2020-12-07 18:23:00+00:00,6.742,0.0,-0.002269444444444445
2020-12-07 18:33:00+00:00,6.742,0.0,-0.0022611111111111113
2020-12-07 18:43:00+00:00,6.742,0.0,-0.0022638888888888878
2020-12-07 18:53:00+00:00,6.742,0.0,-0.0022583333333333327
2020-12-07 19:03:00+00:00,6.742,0.0,-0.0022555555555555562
2020-12-07 19:13:00+00:00,5.205,-0.10246666666666666,-0.0022638888888888878
2020-12-07 19:23:00+00:00,5.2540000000000004,0.0032666666666666916,-0.0022666666666666664
2020-12-07 19:33:00+00:00,5.229,-0.0016666666666666904,-0.0022666666666666664
2020-12-07 19:43:00+00:00,5.143,-0.005733333333333353,-0.008741666666666667
2020-12-07 19:53:00+00:00,5.46,0.021133333333333344,-0.008813888888888888
2020-12-07 20:03:00+00:00,5.642,0.012133333333333359,-0.00876111111111111
2020-12-07 20:13:00+00:00,5.925,0.018866666666666632,-0.008777777777777777
2020-12-07 20:33:00+00:00,5.9270000000000005,-6.666666666662971e-05,-0.0012722222222222228
2020-12-07 20:43:00+00:00,5.929,0.00013333333333331865,-0.0012444444444444432
2020-12-07 20:53:00+00:00,5.93,6.666666666662971e-05,-0.001216666666666666
2020-12-08 14:16:00+00:00,6.742,0.0,-0.015819444444444445
2020-12-08 14:36:00+00:00,6.742,0.0,-0.015811111111111113
2020-12-08 14:46:00+00:00,6.742,0.0,-0.015816666666666666
2020-12-08 14:53:04+00:00,6.742,0.0,-0.015827777777777777
2020-12-08 15:06:00+00:00,6.742,0.0,-0.015833333333333335
2020-12-08 15:16:00+00:00,6.742,0.0,-0.015830555555555556
2020-12-08 15:26:00+00:00,6.742,0.0,-0.015813888888888888
2020-12-08 15:36:00+00:00,6.742,0.0,-0.015811111111111113
2020-12-08 15:46:00+00:00,6.742,0.0,-0.015811111111111113
2020-12-08 15:56:00+00:00,6.742,0.0,-0.015811111111111113
2020-12-08 16:44:00+00:00,1.047,-0.3796666666666667,-0.015799999999999998
2020-12-08 16:53:40+00:00,6.742,0.3796666666666667,-0.015802777777777777
2020-12-08 16:54:00+00:00,1.05,-0.3794666666666667,-0.015799999999999998
2020-12-08 17:04:00+00:00,1.048,-0.00013333333333333345,-0.015802777777777777
2020-12-08 17:14:00+00:00,1.044,-0.0002666666666666669,-0.015802777777777777
2020-12-08 17:24:00+00:00,1.042,-0.00013333333333333345,-0.015805555555555555
2020-12-08 17:34:00+00:00,1.043,6.666666666665932e-05,-0.015802777777777777
2020-12-08 19:20:18+00:00,1.049,0.00040000000000000034,-0.01581111111111111
2020-12-08 19:24:00+00:00,1.05,6.666666666667412e-05,-0.01581111111111111
2020-12-08 19:34:00+00:00,1.05,0.0,-0.015816666666666663
2020-12-08 21:20:18+00:00,1.05,0.0,-0.015816666666666663
2020-12-08 23:06:36+00:00,1.054,0.0002666666666666669,-0.01582222222222222
2020-12-09 00:52:53+00:00,1.053,-6.666666666667412e-05,-0.015830555555555553
2020-12-09 01:04:00+00:00,1.053,-6.666666666667412e-05,-0.01582222222222222
2020-12-09 01:14:00+00:00,1.053,0.0,-1.6666666666662517e-05
2020-12-09 01:24:00+00:00,1.052,-6.666666666665932e-05,-8.333333333329487e-06
2020-12-09 06:00:38+00:00,1.048,-0.00013333333333333345,-5.555555555551398e-06
2020-12-09 06:04:00+00:00,1.048,0.0,-1.6666666666662517e-05
2020-12-09 06:14:00+00:00,1.046,-0.00013333333333333345,-1.3888888888885046e-05
2020-12-09 06:24:00+00:00,1.043,-0.00020000000000000757,-1.3888888888885046e-05
2020-12-09 06:34:00+00:00,1.047,0.0002666666666666669,-2.4999999999996166e-05
2020-12-09 08:20:17+00:00,1.046,-6.666666666665932e-05,-2.499999999999555e-05
2020-12-09 10:06:37+00:00,1.044,-0.00013333333333333345,-3.055555555555172e-05
2020-12-09 11:52:19+00:00,1.045,6.666666666665932e-05,-2.7777777777773635e-05
