,Value,diff,mean diff
2021-07-07 21:46:00+00:00,0.281,6.666666666666672e-05,-3.3333333333333363e-06
2021-07-07 22:06:00+00:00,0.28200000000000003,0.00013333333333333345,-3.030303030303033e-06
2021-07-07 22:16:00+00:00,0.279,-0.00020000000000000017,-2.8985507246376837e-06
2021-07-07 23:36:00+00:00,0.278,-0.00013333333333333345,-2.77777777777778e-06
2021-07-07 23:56:00+00:00,0.278,-6.666666666666672e-05,-2.77777777777778e-06
2021-07-08 00:16:00+00:00,0.28,0.00013333333333333345,-1.111111111111112e-05
2021-07-08 00:26:00+00:00,0.28,0.0,-2.77777777777778e-06
2021-07-08 00:36:00+00:00,0.28,0.0,-5.55555555555556e-06
2021-07-08 00:46:00+00:00,0.28,0.0,-1.38888888888889e-05
2021-07-08 00:56:00+00:00,0.279,-6.666666666666672e-05,-8.33333333333334e-06
2021-07-08 01:06:00+00:00,0.281,0.00013333333333333345,-2.77777777777778e-06
2021-07-08 01:16:00+00:00,0.28,-6.666666666666672e-05,-5.55555555555556e-06
2021-07-08 01:26:00+00:00,0.279,-6.666666666666672e-05,-2.77777777777778e-06
2021-07-08 01:36:00+00:00,0.28,6.666666666666672e-05,-2.77777777777778e-06
2021-07-08 01:56:00+00:00,0.28,0.0,-5.55555555555556e-06
2021-07-08 02:26:00+00:00,0.279,6.666666666666672e-05,-5.55555555555556e-06
2021-07-08 02:36:00+00:00,0.277,-0.00013333333333333345,-5.55555555555556e-06
2021-07-08 02:46:00+00:00,0.278,6.666666666666672e-05,-2.77777777777778e-06
2021-07-08 02:56:00+00:00,0.279,6.666666666666672e-05,-5.55555555555556e-06
2021-07-08 03:06:00+00:00,0.278,-6.666666666666672e-05,-2.77777777777778e-06
2021-07-08 03:16:00+00:00,0.278,0.0,-8.33333333333334e-06
2021-07-08 03:26:00+00:00,0.279,6.666666666666672e-05,-5.55555555555556e-06
2021-07-08 03:36:00+00:00,0.279,0.0,-5.55555555555556e-06
2021-07-08 03:46:00+00:00,0.277,-0.00013333333333333345,-1.111111111111112e-05
2021-07-08 03:56:00+00:00,0.278,6.666666666666672e-05,-8.33333333333334e-06
2021-07-08 04:06:00+00:00,0.279,6.666666666666672e-05,-8.33333333333334e-06
2021-07-08 04:26:00+00:00,0.278,0.0,-5.55555555555556e-06
2021-07-08 04:36:00+00:00,0.279,6.666666666666672e-05,-5.55555555555556e-06
2021-07-08 04:56:00+00:00,0.278,0.0,-5.55555555555556e-06
2021-07-08 05:06:00+00:00,0.278,0.0,-5.55555555555556e-06
2021-07-08 05:16:00+00:00,0.278,0.0,-2.77777777777778e-06
2021-07-08 05:26:00+00:00,0.277,-6.666666666666672e-05,-2.77777777777778e-06
2021-07-08 05:36:00+00:00,0.276,-6.666666666666672e-05,-5.55555555555556e-06
2021-07-08 05:46:00+00:00,0.277,6.666666666666672e-05,-5.55555555555556e-06
2021-07-08 06:06:00+00:00,0.278,6.666666666666672e-05,-5.55555555555556e-06
2021-07-08 06:16:00+00:00,0.276,-0.00013333333333333345,-8.33333333333334e-06
2021-07-08 06:26:00+00:00,0.277,6.666666666666672e-05,-2.77777777777778e-06
2021-07-08 06:36:00+00:00,0.277,0.0,-2.77777777777778e-06
2021-07-08 06:46:00+00:00,0.276,-6.666666666666672e-05,-5.55555555555556e-06
2021-07-08 06:56:00+00:00,0.277,6.666666666666672e-05,-2.77777777777778e-06
2021-07-08 07:06:00+00:00,0.277,0.0,-5.55555555555556e-06
2021-07-08 11:36:00+00:00,0.28500000000000003,-0.00039999999999999666,-1.944444444444431e-05
2021-07-08 12:06:00+00:00,0.28800000000000003,6.666666666666672e-05,-2.7777777777777834e-06
2021-07-08 16:56:00+00:00,0.3,6.666666666666672e-05,-8.333333333333327e-06
2021-07-08 17:26:00+00:00,0.299,0.0,-5.5555555555555465e-06
2021-07-08 17:36:00+00:00,0.299,0.0,-8.333333333333327e-06
2021-07-08 17:46:00+00:00,0.3,6.666666666666672e-05,-8.333333333333327e-06
2021-07-08 17:56:00+00:00,0.299,-6.666666666666672e-05,-8.333333333333327e-06
2021-07-08 19:46:00+00:00,0.3,6.666666666666672e-05,-2.7777777777777826e-06
2021-07-08 20:16:00+00:00,0.319,-0.00040000000000000034,-1.1111111111111124e-05
2021-07-08 20:26:00+00:00,0.317,-0.00013333333333333345,-1.3888888888888905e-05
2021-07-08 20:36:00+00:00,0.335,0.001200000000000001,-1.3888888888888905e-05
2021-07-08 20:46:00+00:00,0.31,-0.001666666666666668,-1.1111111111111125e-05
2021-07-08 20:56:00+00:00,0.308,-0.00013333333333333345,-5.555555555555565e-06
2021-07-08 21:06:00+00:00,0.326,0.001200000000000001,-1.1111111111111125e-05
2021-07-08 21:16:00+00:00,0.302,-0.0016000000000000014,-5.555555555555565e-06
2021-07-08 21:26:00+00:00,0.299,-0.00020000000000000017,-2.7777777777777847e-06
2021-07-08 21:36:00+00:00,0.298,-6.666666666666672e-05,-5.555555555555565e-06
2021-07-08 21:46:00+00:00,0.3,0.00013333333333333345,-8.333333333333346e-06
2021-07-08 21:56:00+00:00,0.299,-6.666666666666672e-05,-5.555555555555565e-06
2021-07-08 22:06:00+00:00,0.297,-0.00013333333333333345,-7.500000000000007e-05
2021-07-08 22:16:00+00:00,0.297,0.0,-8.333333333333341e-05
2021-07-08 22:26:00+00:00,0.297,0.0,-6.94444444444445e-05
2021-07-08 22:36:00+00:00,0.297,0.0,-6.111111111111116e-05
2021-07-08 22:46:00+00:00,0.297,0.0,-0.00010555555555555564
2021-07-08 22:56:00+00:00,0.296,-6.666666666666672e-05,-4.166666666666669e-05
